# 2026-09-26. crates.io API, published .crate sources, repository HEAD, rustsec.org/packages.
# crate | version | released | downloads all/90d | licence | dependents (top by downloads) | src lines | unsafe blocks/fns | forbid(unsafe_code) | 'indefinite' mentions | repo fuzz/audit files | last commit | RustSec
der | 0.8.2 | 2026-09-05 | 474,291,835/115,091,727 | Apache-2.0 OR MIT | 340 (spki, pkcs8, crypto-bigint, ecdsa, sec1, pkcs1) | 14614 | 4 | no | 63 | .cargo/audit.toml .github/workflows SECURITY.md tls_codec/fuzz x509-cert/fuzz | 2026-09-23 | none
rasn | 0.28.15 | 2026-09-25 | 14,304,370/2,592,250 | MIT OR Apache-2.0 | 63 (rasn-pkix, rasn-ocsp, c2pa, rasn-cms, apple-codesign, rasn-smi) | 34787 | 2 | no | 13 | fuzzing/.gitignore fuzzing/Cargo.toml fuzzing/derive_in fuzzing/dict fuzzing/in fuzzing/src | 2026-09-25 | none
asn1 | 0.24.1 | 2026-03-21 | 16,248,342/3,715,430 | BSD-3-Clause | 18 (rasn, bjorn-acme, rsa-oaep-pss, turbomcp-dpop, evm-signer-kms, postchain-client) | 6906 | 0 | yes | 0 | fuzz/.gitignore fuzz/Cargo.toml fuzz/fuzz_targets | 2026-09-21 | none
der-parser | 10.0.0 | 2025-01-21 | 166,518,544/44,059,664 | MIT OR Apache-2.0 | 40 (x509-parser, webauthn-rs-core, webrtc-dtls, dtls, kerberos-parser, tor-llcrypto) | 5774 | 0 | yes | 10 | .github/workflows fuzz/.gitignore fuzz/Cargo.toml fuzz/fuzz_targets | 2025-11-20 | none
asn1-rs | 0.7.2 | 2026-05-18 | 163,127,699/45,111,395 | MIT OR Apache-2.0 | 29 (x509-parser, der-parser, oid-registry, c2pa, snmp-parser, app-store-server-library) | 10324 | 0 | yes | 43 | .github/workflows | 2026-05-27 | none
bcder | 0.7.7 | 2026-06-08 | 25,120,049/4,252,589 | BSD-3-Clause | 21 (x509-certificate, c2pa, cryptographic-message-syntax, apple-xar, apple-codesign, rustdds) | 9134 | 9 | no | 34 | fuzz/.gitignore fuzz/Cargo.lock fuzz/Cargo.toml fuzz/fuzz_targets | 2026-09-14 | RUSTSEC-2023-0062
yasna | 0.6.0 | 2026-03-14 | 107,441,428/30,931,563 | MIT OR Apache-2.0 | 73 (webpki-roots, rcgen, libp2p-tls, russh, jsonwebkey, litep2p) | 7632 | 0 | yes | 5 | fuzz/.gitignore fuzz/Cargo.toml fuzz/fuzz_targets | 2026-03-14 | none
simple_asn1 | 0.6.4 | 2026-02-12 | 178,236,001/41,795,740 | ISC | 45 (jsonwebtoken, ic-identity-hsm, jsonwebtokens, ssi-jwk, sshcerts, surrealdb-jsonwebtoken) | 1617 | 0 | no | 0 | fuzz/.gitignore fuzz/Cargo.toml fuzz/fuzz_targets | 2026-02-12 | RUSTSEC-2021-0125
picky-asn1 | 0.10.1 | 2025-01-16 | 8,044,559/1,871,259 | MIT OR Apache-2.0 | 15 (picky-asn1-der, picky-asn1-x509, tss-esapi, picky, picky-krb, sspi) | 2352 | 2 | no | 0 | picky/fuzz | 2026-09-16 | none
picky-asn1-der | 0.5.6 | 2026-04-21 | 7,969,831/1,880,560 | MIT OR Apache-2.0 | 24 (picky-asn1, picky-asn1-x509, picky, picky-krb, sspi, nitro-tpm-attest) | 2084 | 0 | no | 0 | picky/fuzz | 2026-09-16 | none
