## templates (a): scripts/fuzz.sh replay
# class | filed inputs | signature | shortest culprit (bytes: hex, first 64 bytes)
L1 opaque ANY: version contents not parsed | 1 | old-ERR-new-ERR+date-new-only--in-app-whole--old-receipt-payload-is-not-valid-ASN-#-truncated-ASN-#-value--new-ok @in-app SET: truncated ASN.1 value: version, inside it | 185: 31803080020206a5020101248004010204020101000000003080020206a6020101248004070c0c706173732e04077072656d69756d000000003080020206a7ef
L1 opaque ANY: version contents not parsed | 4 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-multi-byte-ASN-#-tags-are-not-supported--new-unparseable-receipt-date @double wrap: multi-byte ASN.1 tags are not supported: version, inside it | 718: 048202ca318202c6300c0202270f0201010403010203301102011302010104092c0704013104022e303013020103020101040b2c090402312e0403322e333010
L1 opaque ANY: version contents not parsed | 50 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-truncated-ASN-#-value--new-attribute-value-is-not-a-UTF#String-or-IA#String @double wrap: truncated ASN.1 value: version, inside it | 718: 048202ca318202c6300c0202270f0201010403010203301102011302010104092c0704013104022e303013020103020101040b2c090402312e0403322e333010
L1 opaque ANY: version contents not parsed | 50 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-truncated-ASN-#-value--new-bmpstring-is-wrong-length-nested-asn#-error-nested-asn#-error @double wrap: truncated ASN.1 value: version, inside it | 718: 048202ca318202c6300c0202270f0201010403010203301102011302010104092c0704013104022e303013020103020101040b2c090402312e0403322e333010
L1 opaque ANY: version contents not parsed | 50 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-truncated-ASN-#-value--new-boolean-is-wrong-length-nested-asn#-error-nested-asn#-error @double wrap: truncated ASN.1 value: version, inside it | 718: 048202ca318202c6300c0202270f0201010403010203301102011302010104092c0704013104022e303013020103020101040b2c090402312e0403322e333010
L1 opaque ANY: version contents not parsed | 50 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-truncated-ASN-#-value--new-field-missing-nested-asn#-error @double wrap: truncated ASN.1 value: version, inside it | 650: 0482028631820282300c0202270f0201010403010203300d02011302010104050c03312e30300f02010302010104070c05312e322e3330100201040201010408
L1 opaque ANY: version contents not parsed | 8 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-truncated-ASN-#-value--new-generalizedtime-is-too-short-nested-asn#-error-nested-asn#-error @double wrap: truncated ASN.1 value: version, inside it | 718: 048202ca318202c6300c0202270f0201010403010203301102011302010104092c0704013104022e303013020103020101040b2c090402312e0403322e333010
L1 opaque ANY: version contents not parsed | 50 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-truncated-ASN-#-value--new-header-too-long-bad-object-header-nested-asn#-error @double wrap: truncated ASN.1 value: version, inside it | 718: 048202ca318202c6300c0202270f0201010403010203301102011302010104092c0704013104022e303013020103020101040b2c090402312e0403322e333010
L1 opaque ANY: version contents not parsed | 50 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-truncated-ASN-#-value--new-header-too-long-bad-object-header-nested-asn#-error-nested-asn#-error @double wrap: truncated ASN.1 value: version, inside it | 718: 048202ca318202c6300c0202270f0201010403010203301102011302010104092c0704013104022e303013020102020101040b2c090402312e0403322e333010
L1 opaque ANY: version contents not parsed | 50 | old-ERR-new-ERR+date-new-only--whole--old-receipt-payload-double-wrap-is-not-valid-ASN-#-truncated-ASN-#-value--new-header-too-long-bad-object-header-nested-asn#-error-nested-asn#-error-nested-asn#-er @double wrap: truncated ASN.1 value: version, inside it | 650: 0482028631820282300c0202270f0201000403010203300d02011302010104050c03312e30300f02010371010104070c05312e322e3330100201040201010408
